id	name	domain	info
1	v	/hs	Communication protocol version. Should not change for compatibility. Returns single integer
2	serv	/hs	Server version number
3	mod	/hs	Returns mod information, if server is modded.
4	stop	/prc	shuts down the server
5	ls	/dat	Lists commands for a directory. STDin is list of columns to use
6	col	/util	Sets a list of column name for other methods to specify output
7	msg	/chat	Sends a chat message
8	login	/acc/log	Attempt to log in to an account
9	setpass	/acc/log	Changes account password
10	create	/acc/man	Creates an account
11	ls	/acc/log	Lists accounts of server
12	logout	/acc/log	Logs out of account
