name	letter	command	minarg	maxarg	minUse	maxUse	info
old	o	/acc/log/setpass	1	1	1	1	Old password of account
new	n	/acc/log/setpass	1	1	1	1	New passowrd of account
account	a	/acc/log/login	1	1	1	1	Account to login to
password	p	/acc/log/login	1	1	1	1	Password for account
directory	d	/dat/ls	1	1	0	1	Directory to list
account	a	/acc/man/create	1	1	1	1	Name of account to create
password	p	/acc/man/create	1	1	1	1	Password for new account
directory	d	/dat/info	1	1	1	1	Directory/command path
directory	d	/dat/lsf	1	1	1	1	Command of flags
room	r	/chat/msg	1	1	1	1	Chat room for message
message	m	/chat/msg	1	1	1	1	Message to say
name	n	/maze/play/newMap	1	1	1	1	Name of map
size	s	/maze/play/newMap	1	1	1	1	Length of map side. Maps are square
id	i	/maze/play/swapStage	1	1	1	1	ID of map to affect
stage	i	/maze/play/swapStage	1	1	0	1	Force the map to switch to that stage
id	i	/maze/play/deleteMap	1	1	1	1	ID of map to delete
id	i	/maze/play/getMaze	1	1	1	1	ID of maze to retrieve
id	i	/maze/play/editMaze	1	1	1	1	ID of maze to edit
row	r	/maze/play/editMaze	1	1	1	1	Row of maze tile to edit
column	c	/maze/play/editMaze	1	1	1	1	Column of maze tile to edit
value	v	/maze/play/editMaze	1	1	1	1	Value of maze tile to set
type	t	/maze/play/createGame	1	1	1	1	Game type
players	p	/maze/play/createGame	1	1	1	1	Maximum number of players in game
size	s	/maze/play/createGame	1	1	1	1	Size of maps allowed
